"","subject","type","item","condition","question","correct_answer","response","rt","group","ambiguity","trimmed_rt"
"19","L1 1","gap",9,"a","0","-","-",7332,-0.5,0.5,7332
"35","L1 1","gap",1,"a","0","-","-",3889,-0.5,0.5,3889
"39","L1 1","gap",7,"a","0","-","-",5502,-0.5,0.5,5502
"54","L1 1","gap",11,"a","0","-","-",6100,-0.5,0.5,6100
"57","L1 1","gap",12,"b","0","-","-",5111,-0.5,-0.5,5111
"64","L1 1","gap",6,"b","0","-","-",4747,-0.5,-0.5,4747
"77","L1 1","gap",2,"b","0","-","-",5688,-0.5,-0.5,5688
"84","L1 1","gap",8,"b","0","-","-",4072,-0.5,-0.5,4072
"102","L1 1","gap",10,"b","0","-","-",6782,-0.5,-0.5,6782
"107","L1 1","gap",3,"a","0","-","-",9763,-0.5,0.5,9763
"154","L1 1","gap",4,"b","0","-","-",3525,-0.5,-0.5,3525
"167","L1 1","gap",5,"a","0","-","-",6241,-0.5,0.5,6241
"198","L1 2","gap",10,"a","0","-","-",7414,-0.5,0.5,7414
"219","L1 2","gap",1,"b","0","-","-",11766,-0.5,-0.5,11766
"226","L1 2","gap",3,"b","0","-","-",9436,-0.5,-0.5,9436
"233","L1 2","gap",6,"a","0","-","-",4062,-0.5,0.5,4062
"243","L1 2","gap",9,"b","0","-","-",5404,-0.5,-0.5,5404
"248","L1 2","gap",4,"a","0","-","-",5731,-0.5,0.5,5731
"252","L1 2","gap",12,"a","0","-","-",6163,-0.5,0.5,6163
"256","L1 2","gap",5,"b","0","-","-",5476,-0.5,-0.5,5476
"271","L1 2","gap",11,"b","0","-","-",4505,-0.5,-0.5,4505
"320","L1 2","gap",8,"a","0","-","-",5172,-0.5,0.5,5172
"330","L1 2","gap",2,"a","0","-","-",7103,-0.5,0.5,7103
"355","L1 2","gap",7,"b","0","-","-",8693,-0.5,-0.5,8693
"374","L1 3","gap",11,"a","0","-","-",10601,-0.5,0.5,10601
"387","L1 3","gap",6,"b","0","-","-",8487,-0.5,-0.5,8487
"397","L1 3","gap",1,"a","0","-","-",14887,-0.5,0.5,14887
"418","L1 3","gap",2,"b","0","-","-",13600,-0.5,-0.5,13600
"432","L1 3","gap",3,"a","0","-","-",25782,-0.5,0.5,25782
"439","L1 3","gap",9,"a","0","-","-",17519,-0.5,0.5,17519
"451","L1 3","gap",8,"b","0","-","-",17162,-0.5,-0.5,17162
"462","L1 3","gap",5,"a","0","-","-",9094,-0.5,0.5,9094
"473","L1 3","gap",4,"b","0","-","-",12509,-0.5,-0.5,12509
"488","L1 3","gap",7,"a","0","-","-",17228,-0.5,0.5,17228
"505","L1 3","gap",10,"b","0","-","-",14964,-0.5,-0.5,14964
"514","L1 3","gap",12,"b","0","-","-",12764,-0.5,-0.5,12764
"587","L1 4","gap",12,"a","0","-","-",3713,-0.5,0.5,3713
"591","L1 4","gap",2,"a","0","-","-",3192,-0.5,0.5,3192
"616","L1 4","gap",1,"b","0","-","-",2971,-0.5,-0.5,2971
"620","L1 4","gap",5,"b","0","-","-",7482,-0.5,-0.5,7482
"624","L1 4","gap",3,"b","0","-","-",8174,-0.5,-0.5,8174
"634","L1 4","gap",8,"a","0","-","-",4061,-0.5,0.5,4061
"641","L1 4","gap",6,"a","0","-","-",2655,-0.5,0.5,2655
"684","L1 4","gap",9,"b","0","-","-",4095,-0.5,-0.5,4095
"690","L1 4","gap",10,"a","0","-","-",2664,-0.5,0.5,2664
"697","L1 4","gap",11,"b","0","-","-",2531,-0.5,-0.5,2531
"710","L1 4","gap",7,"b","0","-","-",3211,-0.5,-0.5,3211
"714","L1 4","gap",4,"a","0","-","-",4365,-0.5,0.5,4365
"734","L1 5","gap",1,"a","0","-","-",3711,-0.5,0.5,3711
"760","L1 5","gap",6,"b","0","-","-",2644,-0.5,-0.5,2644
"767","L1 5","gap",4,"b","0","-","-",4413,-0.5,-0.5,4413
"774","L1 5","gap",7,"a","0","-","-",3500,-0.5,0.5,3500
